-300 -300 300 
-300 -200 300 
-200 -200 280 
-200 -300 280 
-300 -300 300 


-200 -200 280 
-200 -300 280 
-100 -300 300 
-100 -200 300 
-200 -200 280 


-100 -300 300 
-100 -200 300 
0 -200 280 
0 -300 280 
-100 -300 300 


0 -200 280 
0 -300 280 
100 -300 300 
100 -200 300 
0 -200 280 


100 -300 300 
100 -200 300 
200 -200 280 
200 -300 280 
100 -300 300 


200 -200 280 
200 -300 280 
300 -300 300 
300 -200 300 
200 -200 280 


-300 -200 300 
-300 -100 300 
-200 -100 280 
-200 -200 280 
-300 -200 300 


-200 -100 280 
-200 -200 280 
-100 -200 300 
-100 -100 300 
-200 -100 280 


-100 -200 300 
-100 -100 300 
0 -100 280 
0 -200 280 
-100 -200 300 


0 -100 280 
0 -200 280 
100 -200 300 
100 -100 300 
0 -100 280 


100 -200 300 
100 -100 300 
200 -100 280 
200 -200 280 
100 -200 300 


200 -100 280 
200 -200 280 
300 -200 300 
300 -100 300 
200 -100 280 


-300 -100 300 
-300 0 300 
-200 0 280 
-200 -100 280 
-300 -100 300 


-200 0 280 
-200 -100 280 
-100 -100 300 
-100 0 300 
-200 0 280 


-100 -100 300 
-100 0 300 
0 0 280 
0 -100 280 
-100 -100 300 


0 0 280 
0 -100 280 
100 -100 300 
100 0 300 
0 0 280 


100 -100 300 
100 0 300 
200 0 280 
200 -100 280 
100 -100 300 


200 0 280 
200 -100 280 
300 -100 300 
300 0 300 
200 0 280 


-300 0 300 
-300 100 300 
-200 100 280 
-200 0 280 
-300 0 300 


-200 100 280 
-200 0 280 
-100 0 300 
-100 100 300 
-200 100 280 


-100 0 300 
-100 100 300 
0 100 280 
0 0 280 
-100 0 300 


0 100 280 
0 0 280 
100 0 300 
100 100 300 
0 100 280 


100 0 300 
100 100 300 
200 100 280 
200 0 280 
100 0 300 


200 100 280 
200 0 280 
300 0 300 
300 100 300 
200 100 280 


-300 100 300 
-300 200 300 
-200 200 280 
-200 100 280 
-300 100 300 


-200 200 280 
-200 100 280 
-100 100 300 
-100 200 300 
-200 200 280 


-100 100 300 
-100 200 300 
0 200 280 
0 100 280 
-100 100 300 


0 200 280 
0 100 280 
100 100 300 
100 200 300 
0 200 280 


100 100 300 
100 200 300 
200 200 280 
200 100 280 
100 100 300 


200 200 280 
200 100 280 
300 100 300 
300 200 300 
200 200 280 


-300 200 300 
-300 300 300 
-200 300 280 
-200 200 280 
-300 200 300 


-200 300 280 
-200 200 280 
-100 200 300 
-100 300 300 
-200 300 280 


-100 200 300 
-100 300 300 
0 300 280 
0 200 280 
-100 200 300 


0 300 280 
0 200 280 
100 200 300 
100 300 300 
0 300 280 


100 200 300 
100 300 300 
200 300 280 
200 200 280 
100 200 300 


200 300 280 
200 200 280 
300 200 300 
300 300 300 
200 300 280 


